estado,cod_mun6,municipio,casos_acumulados,pop_pessoa_ano,pop_media,incidencia_media_anual,incidencia_mediana_anual,incidencia_max_anual,anos_com_casos,anos_zero,incidencia_periodo_100mil_pessoa_ano,log_casos_acumulados_mais1,log_inc_periodo_mais1
SP,350040,AGUAS DA PRATA,17,178272,7428.0,9.689377424818538,0.0,54.72704884389109,9,15,9.535989947944714,2.8903717578961645,2.354797010373015
SP,350050,AGUAS DE LINDOIA,64,415578,17315.75,15.523030829162813,11.771405070880618,60.97560975609756,22,2,15.400237741170129,4.174387269895637,2.7972958311378937
SP,350055,AGUAS DE SANTA BARBARA,21,146058,6085.75,13.52685926336518,15.136193220038868,43.566656985187336,15,9,14.377849895247092,3.091042453358316,2.7329281555561784
SP,350060,AGUAS DE SAO PEDRO,10,61706,2571.0833333333335,15.768596323085271,0.0,73.5564545788893,9,15,16.20587949308009,2.3978952727983707,2.845251156401533
SP,350070,AGUDOS,240,847637,35318.208333333336,28.215557990246293,28.957279751019353,56.964600569646,24,0,28.31400705726626,5.484796933490655,3.378065458352377
SP,350075,ALAMBARI,10,122049,5085.375,7.043709716142871,0.0,47.39336492890995,7,17,8.193430507419151,2.3978952727983707,2.2184891537012796
SP,350080,ALFREDO MARCONDES,7,97304,4054.3333333333335,6.961389655350096,0.0,50.27652086475615,5,19,7.193948861300665,2.0794415416798357,2.1033959381118756
SP,350090,ALTAIR,19,87170,3632.0833333333335,21.71402681052488,26.522073708926133,81.74386920980926,13,11,21.796489617987838,2.995732273553991,3.126606559983362
SP,350100,ALTINOPOLIS,48,384710,16029.583333333334,12.305503386964913,12.508796970380164,30.671083302662247,19,5,12.476930675053936,3.8918202981106265,2.600979384828844
SP,350110,ALTO ALEGRE,39,96987,4041.125,41.56190774887269,11.95886151638364,362.50647332988086,12,12,40.21157474713106,3.6888794541139363,3.718719157363444
SP,350115,ALUMINIO,81,401213,16717.208333333332,20.062764860943876,17.55671635356387,69.36015259233571,23,1,20.188777532133805,4.406719247264253,3.0534716798247987
SP,350120,ALVARES FLORENCE,8,95621,3984.2083333333335,8.212396617187041,0.0,51.26890540886952,6,18,8.366363037408101,2.1972245773362196,2.2371248712111043
SP,350130,ALVARES MACHADO,83,593196,24716.5,13.58683283654365,8.74477486654244,44.028618602091356,24,0,13.992002643308451,4.430816798843313,2.707516901810649
SP,350140,ALVARO DE CARVALHO,410,110580,4607.5,363.08510846395507,422.70071460730446,723.0965546575925,22,2,370.7722915536263,6.018593214496234,5.918281547372032
SP,350150,ALVINLANDIA,12,70334,2930.5833333333335,17.153192261146366,0.0,102.31923601637108,8,16,17.061449654505644,2.5649493574615367,2.893779813566234
SP,350160,AMERICANA,1198,5162859,215119.125,23.43289370857441,22.430412867954608,37.23441390705359,24,0,23.20419751924273,7.089243155027514,3.1865260693300965
SP,350170,AMERICO BRASILIENSE,839,787240,32801.666666666664,110.95845860924025,57.784648295270415,329.8216401421755,24,0,106.57486916315227,6.733401891837359,4.678187062485507
SP,350180,AMERICO DE CAMPOS,15,137984,5749.333333333333,10.904021935521188,0.0,71.36485280999108,11,13,10.87082560296846,2.772588722239781,2.474083759949117
SP,350190,AMPARO,433,1576107,65671.125,27.756231714029237,26.979632156325785,65.01950585175553,24,0,27.47275407063099,6.073044534100405,3.3489476324958067
SP,350200,ANALANDIA,8,102363,4265.125,7.5220405584917245,0.0,43.58247984310307,7,17,7.815323896329728,2.1972245773362196,2.1764915589444778
SP,350210,ANDRADINA,608,1367240,56968.333333333336,44.261333297282526,45.22271647139766,62.19012904451777,24,0,44.469149527515285,6.411818267709897,3.817034063626705
SP,350220,ANGATUBA,100,535588,22316.166666666668,18.44321337348826,18.84978909607705,33.96162336559688,23,1,18.67106805977729,4.61512051684126,2.979148929847897
SP,350230,ANHEMBI,32,130752,5448.0,24.621326943445442,19.376874434166027,70.54673721340389,15,9,24.47381302006853,3.4965075614664802,3.237650984110345
SP,350240,ANHUMAS,12,90745,3781.0416666666665,13.245786163431438,0.0,57.045065601825435,9,15,13.223869083696071,2.5649493574615367,2.65492147482706
SP,350250,APARECIDA,416,819785,34157.708333333336,50.744254817887544,49.28753515038092,80.148847860312,24,0,50.745012411790896,6.0330862217988015,3.946328048984653
SP,350260,APARECIDA DOESTE,8,105872,4411.333333333333,7.781282850832896,0.0,46.24277456647399,7,17,7.55629439322956,2.1972245773362196,2.1466671984390655
SP,350270,APIAI,84,608616,25359.0,13.701441258410325,11.95445924369807,31.51964067609629,23,1,13.801806064907922,4.442651256490317,2.6947492047375396
SP,350275,ARACARIGUAMA,159,418881,17453.375,36.35897500600331,31.390060021658982,76.68711656441718,24,0,37.958274545754044,5.075173815233827,3.6624911899536103
SP,350280,ARACATUBA,1276,4469001,186208.375,28.803337287908366,25.235925788492438,59.25560874870928,24,0,28.552242436284978,7.152268856032539,3.386159627141594
SP,350290,ARACOIABA DA SERRA,114,664185,27674.375,16.740736091428243,16.27629563474961,30.262680062946373,23,1,17.1638925901669,4.74493212836325,2.899435699882331
SP,350300,ARAMINA,4,124298,5179.083333333333,3.258375722346758,0.0,41.657987919183505,2,22,3.2180726962622086,1.6094379124341003,1.4393783166786227
SP,350310,ARANDU,24,153327,6388.625,15.805672397998485,14.667377395051403,49.366463715649175,15,9,15.652820442583497,3.2188758248682006,2.81257959803154
SP,350315,ARAPEI,10,59030,2459.5833333333335,16.811526556447127,0.0,201.6942315449778,5,19,16.940538709130948,2.3978952727983707,2.887062884559459
SP,350320,ARARAQUARA,1130,5182555,215939.79166666666,22.123453604848418,20.18260316966574,34.6067537242815,24,0,21.803917179846618,7.030857476116121,3.1269323273370353
SP,350330,ARARAS,911,2892456,120519.0,31.666379955242423,30.382758644801847,54.21928897946211,24,0,31.495725431951254,6.815639990074331,3.4811085555147674
SP,350335,ARCO-IRIS,2,48317,2013.2083333333333,4.11725955204216,0.0,98.81422924901185,1,23,4.1393298424984994,1.0986122886681098,1.6369226901298857
SP,350340,AREALVA,28,188131,7838.791666666667,14.91934799601822,12.734016745564439,41.084634346754314,16,8,14.88324624862463,3.367295829986474,2.765264858644225
SP,350350,AREIAS,25,87327,3638.625,28.6825803965713,27.273967505706594,138.54253255749515,14,10,28.62803027700482,3.258096538021482,3.388720882055638
SP,350360,AREIOPOLIS,36,248971,10373.791666666666,14.608020057333382,9.633981469491427,49.35834155972359,14,10,14.459515365243341,3.6109179126442243,2.7382246950122577
SP,350370,ARIRANHA,10,192130,8005.416666666667,5.2418761775532,0.0,25.799793601651185,8,16,5.204809243741217,2.3978952727983707,1.8253246758377162
SP,350380,ARTUR NOGUEIRA,136,1071203,44633.458333333336,12.238043490260443,9.169127976000446,31.980736309423033,22,2,12.696006265852503,4.919980925828125,2.6171042768943535
SP,350390,ARUJA,605,1827176,76132.33333333333,33.312295401973664,33.0849318083247,49.508218364248464,24,0,33.111205488688555,6.406879986069314,3.5296259370165215
SP,350395,ASPASIA,5,43973,1832.2083333333333,11.328593070794433,0.0,54.97526113249038,5,19,11.370613785732154,1.791759469228055,2.515323804068501
SP,350400,ASSIS,868,2305068,96044.5,37.5551996135093,36.524442852064126,57.74783445620789,24,0,37.65615591383855,6.767343125265392,3.654706035671314
SP,350410,ATIBAIA,866,3244233,135176.375,26.503840540415624,28.14395367889211,35.92882311042755,24,0,26.693520471556756,6.7650389767805414,3.321198467835871
